iter	Passed	Remaining
864	3824	596
865	3829	592
866	3832	587
867	3836	583
868	3840	578
869	3844	574
870	3848	570
871	3852	565
872	3856	561
873	3861	556
874	3865	552
875	3869	547
876	3873	543
877	3877	538
878	3881	534
879	3885	529
880	3889	525
881	3892	520
882	3896	516
883	3900	511
884	3904	507
885	3908	502
886	3912	498
887	3916	494
888	3920	489
889	3924	485
890	3928	480
891	3932	476
892	3936	471
893	3940	467
894	3944	462
895	3948	458
896	3952	453
897	3956	449
898	3959	444
899	3964	440
900	3968	435
901	3971	431
902	3975	427
903	3980	422
904	3984	418
905	3987	413
906	3991	409
907	3996	404
908	4000	400
909	4004	396
910	4008	391
911	4013	387
912	4017	382
913	4022	378
914	4027	374
915	4031	369
916	4036	365
917	4042	361
918	4046	356
919	4050	352
920	4054	347
921	4059	343
922	4063	338
923	4067	334
924	4071	330
925	4075	325
926	4079	321
927	4083	316
928	4087	312
929	4091	307
930	4095	303
931	4099	299
932	4103	294
933	4107	290
934	4111	285
935	4115	281
936	4119	276
937	4123	272
938	4127	268
939	4130	263
940	4134	259
941	4139	254
942	4142	250
943	4146	245
944	4150	241
945	4154	237
946	4158	232
947	4162	228
948	4166	223
949	4171	219
950	4174	215
951	4178	210
952	4182	206
953	4187	201
954	4191	197
955	4194	193
956	4199	188
957	4203	184
958	4207	179
959	4211	175
960	4218	171
961	4222	166
962	4226	162
963	4230	157
964	4234	153
965	4238	149
966	4242	144
967	4246	140
968	4250	135
969	4254	131
970	4258	127
971	4262	122
972	4266	118
973	4270	113
974	4274	109
975	4278	105
976	4282	100
977	4286	96
978	4290	92
979	4294	87
980	4298	83
981	4302	78
982	4306	74
983	4311	70
984	4315	65
985	4319	61
986	4323	56
987	4327	52
988	4331	48
989	4335	43
990	4339	39
991	4343	35
992	4347	30
993	4351	26
994	4355	21
995	4360	17
996	4364	13
997	4368	8
998	4372	4
999	4376	0
